Date,Close/Last,Volume,Open,High,Low
07/06/2022,$138.15,4401364,$139.29,$140.50,$137.85
07/05/2022,$139.65,4057491,$137.22,$139.65,$135.65
07/01/2022,$140.40,2625268,$138.07,$140.89,$137.47
06/30/2022,$138.62,4123483,$136.70,$139.87,$134.30
06/29/2022,$139.47,4164876,$141.65,$141.675,$138.45
06/28/2022,$142.19,2720704,$146.08,$149.51,$141.85
06/27/2022,$144.29,3151538,$147.99,$148.77,$143.95
06/24/2022,$146.15,8957200,$141.63,$146.27,$141.00
06/23/2022,$141.65,3915027,$144.52,$144.63,$139.47
06/22/2022,$144.39,3419621,$142.23,$146.35,$141.341
06/21/2022,$144.76,3518802,$148.70,$148.70,$144.16
06/17/2022,$144.18,10033580,$138.00,$145.5604,$137.59
06/16/2022,$137.50,4815069,$142.59,$142.60,$136.49
06/15/2022,$146.22,3327823,$146.69,$147.885,$143.44
06/14/2022,$144.60,3574754,$145.95,$147.40,$143.25
06/13/2022,$146.29,4156526,$149.86,$151.03,$145.38
06/10/2022,$154.42,2733681,$157.26,$157.875,$154.36
06/09/2022,$160.98,2274633,$166.22,$166.57,$160.93
06/08/2022,$165.96,2313907,$166.75,$168.64,$165.19
06/07/2022,$168.69,2083115,$164.64,$169.4826,$164.45
06/06/2022,$167.02,1486149,$169.10,$170.259,$166.27
06/03/2022,$166.83,1390842,$166.90,$168.04,$165.98
06/02/2022,$169.14,1707213,$166.14,$169.19,$165.93
06/01/2022,$165.76,2276376,$168.70,$169.3688,$163.84
05/31/2022,$168.82,4123507,$167.94,$170.78,$167.04
05/27/2022,$169.60,2157655,$167.08,$169.68,$166.04
05/26/2022,$165.37,2463957,$162.70,$166.77,$162.70
05/25/2022,$160.51,4380974,$157.14,$161.76,$156.075
05/24/2022,$155.63,2817844,$157.29,$157.97,$152.9232
05/23/2022,$159.04,2726581,$156.61,$159.56,$156.02
05/20/2022,$153.24,2982520,$154.35,$154.80,$149.71
05/19/2022,$154.00,2768341,$153.57,$156.46,$153.25
05/18/2022,$156.10,2697883,$160.79,$160.85,$155.40
05/17/2022,$161.85,2928066,$161.07,$162.7634,$158.40
05/16/2022,$156.43,2811534,$157.41,$158.74,$154.32
05/13/2022,$158.75,3625115,$155.96,$160.09,$155.88
05/12/2022,$153.27,5314843,$155.60,$157.155,$149.88
05/11/2022,$159.39,2644292,$161.73,$164.94,$159.04
